protein_id	X14d.1	X14d.2	X14d.3	X21d.2	X21d.3	X21d.4	X28d.1	X28d.2	X28d.3
WP_010967535.1	149.848206	121.69474	148.480026	111.956123	148.969711	118.952568	79.529724	104.630257	88.827408
WP_010967540.1	54.936974	55.664757	57.766266	57.408001	56.125908	55.135468	72.911964	88.615501	50.469284
WP_010967542.1	12.668272	7.497257	10.972576	7.185686	13.68977	8.382939	7.290007	6.827291	6.252624
WP_010967543.1	25.445929	31.011415	26.258921	14.605626	14.545518	15.030415	11.464876	10.972104	10.767338
WP_010967545.1	62.799911	50.425514	84.740463	62.488472	58.587147	48.395317	26.42625	51.108562	43.188328
WP_010967557.1	34.126335	36.534916	39.634739	30.339796	34.683929	33.664494	26.156574	24.843561	25.981619
WP_010967562.1	684.102051	718.236877	759.265625	308.594086	288.396088	303.770996	1032.391602	1031.168457	1142.943726
WP_010967566.1	242.369934	213.244568	245.941177	233.293137	254.179947	235.00824	253.110321	202.380554	241.272705
WP_010967577.1	222.66069	222.130875	269.43454	247.647339	200.599106	246.740921	188.187592	161.578537	193.541351
WP_010967589.1	298.717102	359.057343	339.065399	411.217743	369.555756	372.634125	325.456482	341.173096	335.980164
WP_010967615.1	74.546265	105.865356	107.359581	93.022285	75.417061	77.384003	103.654694	63.448128	62.752548
WP_010967622.1	211.765625	190.435074	206.743759	201.763184	221.099319	202.614807	149.174316	134.759415	143.195999
WP_010967623.1	29.986397	30.569719	38.151211	22.848162	22.432499	24.321522	21.293774	21.085871	21.011059
WP_010967626.1	56.496555	48.523479	36.033955	39.032612	24.493151	44.176254	36.549915	42.873173	53.613178
WP_010967627.1	36.565701	37.654682	29.967484	17.713192	27.90774	23.968754	26.912018	33.483833	36.641556
WP_010967635.1	111.475113	119.838943	113.744568	88.601028	85.670609	93.780128	118.259216	121.063011	114.455948
WP_010967652.1	44.618507	55.727673	55.885365	53.494274	55.947514	55.451538	75.867798	55.44104	54.178345
WP_010967653.1	93.302124	93.780701	99.84716	70.843849	80.975456	77.610352	81.137657	92.847244	94.593765
WP_010967657.1	77.978806	75.291168	63.401985	73.44931	82.361832	97.905167	78.764633	100.140785	78.927513
WP_010967660.1	14.280699	6.76866	8.589947	4.91674	4.909683	6.175023	9.102428	4.467393	4.796655
WP_010967688.1	13.466698	20.909286	22.088354	16.508551	14.625943	15.9519	17.007788	23.720116	9.333038
WP_010967690.1	28.187569	20.594213	10.950953	15.077996	17.717648	17.959732	8.595901	5.403633	6.331458
WP_010967692.1	22.942308	27.604008	24.367104	22.827324	25.739433	32.377369	23.422108	12.23562	21.543276
WP_010967697.1	15.479609	14.537011	19.047268	12.19799	14.07453	12.327554	7.150415	7.601614	11.123019
WP_010967720.1	45.899338	33.653481	42.5168	36.459599	38.371201	36.573631	32.36393	31.870808	36.557884
WP_010967728.1	15.980007	15.293852	23.773193	18.484653	19.622219	16.517036	13.682558	10.794736	15.298526
WP_010967730.1	13.134965	15.387459	16.908602	18.988285	14.373597	12.345125	8.024598	9.070044	6.269816
WP_010967757.1	56.901279	54.030842	62.960598	58.627319	49.04715	48.107376	44.347198	44.215164	48.734715
WP_010967759.1	91.02906	91.793724	92.811119	89.542816	90.964508	76.637207	69.335373	51.702831	68.504265
WP_010967768.1	64.966919	45.000111	55.626678	45.313274	59.105114	49.789574	40.919323	39.631554	50.617302
WP_010967779.1	39.976288	28.759556	32.687111	19.280066	14.79344	15.37737	21.308029	17.17396	25.249161
WP_010967780.1	8.516985	8.676674	8.549764	8.420498	5.9793	8.765678	9.111523	9.972186	7.242208
WP_010967790.1	88.451782	91.792976	88.016396	71.363205	73.610596	72.700623	90.991852	102.654518	95.426376
