gene_id	gene_name	acronym	geneProduct	A86	A256	A485	A86256	A86485	dnf2
medtr.A17.gnm5.ann1_6.MtrunA17Chr7g0245731	MtrunA17Chr7g0245731	""	""	0	0	4.71266610781527	0	1.6589377235186	8.07984531176753
medtr.A17.gnm5.ann1_6.MtrunA17Chr7g0245741	MtrunA17Chr7g0245741	MtVRC6	vestitone reductase cluster gene 6	0	0	2.05224729608182	0	0	9.89924461177953
medtr.A17.gnm5.ann1_6.MtrunA17Chr7g0250991	MtrunA17Chr7g0250991	""	""	5.91535978529664	5.81420408868389	4.17726024912212	4.20402109060755	-0.251239096101561	2.80264968964249
medtr.A17.gnm5.ann1_6.MtrunA17Chr7g0251281	MtrunA17Chr7g0251281	""	""	-1.28726578286854	-4.22364799226439	-5.88692714158729	-8.08166009841706	-0.27453212890039	-0.847503636573534
medtr.A17.gnm5.ann1_6.MtrunA17Chr7g0252361	MtrunA17Chr7g0252361	""	""	5.19843864152097	3.6921759482278	4.19791507107247	3.52902038522927	1.39094772727955	-0.164780456353792
medtr.A17.gnm5.ann1_6.MtrunA17Chr7g0252971	MtrunA17Chr7g0252971	""	""	4.75500775434031	5.76445717435935	4.7959165926635	4.55640657933675	-0.541163261391138	4.3468671505371
medtr.A17.gnm5.ann1_6.MtrunA17Chr7g0264401	MtrunA17Chr7g0264401	""	""	4.12585141132152	6.54838957245665	5.9967235741296	6.10347066621263	3.79513545174268	3.62419606223849
medtr.A17.gnm5.ann1_6.MtrunA17Chr7g0267101	MtrunA17Chr7g0267101	""	""	7.21322389491982	8.48911896936549	7.12191831294877	6.86976518391668	3.26387560931952	3.33067340607521
medtr.A17.gnm5.ann1_6.MtrunA17Chr7g0270521	MtrunA17Chr7g0270521	""	""	-0.969195105463721	-3.07380851407477	-1.8892452628307	-2.64170371891021	-3.5653477301706	-7.57288252220537
medtr.A17.gnm5.ann1_6.MtrunA17Chr7g0272791	MtrunA17Chr7g0272791	""	""	1.9058785954447	2.03086916108504	4.31246997288341	3.68190945348477	2.90006409813559	7.66358156530734
