ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	geneSymbols
map04024	cAMP signaling pathway	1/72	35/5968	0.0285714285714286	2.36825396825397	0.89707570295406	0.346911091867822	0.651772354418332	0.63628031203827	MtrunA17_Chr2g0295411	1	MtPLD14
map04216	Ferroptosis	1/72	35/5968	0.0285714285714286	2.36825396825397	0.89707570295406	0.346911091867822	0.651772354418332	0.63628031203827	MtrunA17_Chr4g0004881	1	MtFPN3
map00906	Carotenoid biosynthesis	1/72	36/5968	0.0277777777777778	2.30246913580247	0.866131133236372	0.354836660953532	0.656712626242357	0.641103158046444	MtrunA17_Chr4g0044851	1	MtCYP707A107
map04139	Mitophagy - yeast	1/72	39/5968	0.0256410256410256	2.12535612535613	0.779106965673013	0.378048667578173	0.689382864407256	0.672996854047831	MtrunA17_Chr7g0256301	1	MtrunA17Chr7g0256301
map00400	Phenylalanine, tyrosine and tryptophan biosynthesis	1/72	40/5968	0.025	2.07222222222222	0.75184139206748	0.385601458256933	0.692964939476228	0.676493786415672	MtrunA17_Chr1g0149721	1	MtrunA17Chr1g0149721
map00670	One carbon pool by folate	1/72	41/5968	0.024390243902439	2.02168021680217	0.725362297831353	0.393063788723448	0.69628442573868	0.67973437147664	MtrunA17_Chr4g0069201	1	MtrunA17Chr4g0069201
map00350	Tyrosine metabolism	1/72	43/5968	0.0232558139534884	1.92764857881137	0.674588702563463	0.407721330050553	0.709939150182122	0.693064535406995	MtrunA17_Chr1g0149721	1	MtrunA17Chr1g0149721
map00360	Phenylalanine metabolism	1/72	44/5968	0.0227272727272727	1.88383838383838	0.650215325356298	0.414918640470192	0.709939150182122	0.693064535406995	MtrunA17_Chr1g0149721	1	MtrunA17Chr1g0149721
map04976	Bile secretion	1/72	46/5968	0.0217391304347826	1.80193236714976	0.603320367072984	0.429055498337963	0.709939150182122	0.693064535406995	MtrunA17_Chr6g0452111	1	MtABAB26
map04810	Regulation of actin cytoskeleton	1/72	47/5968	0.0212765957446809	1.76359338061466	0.580736446865313	0.435997072826256	0.709939150182122	0.693064535406995	MtrunA17_Chr7g0256301	1	MtrunA17Chr7g0256301
