label	category	gene_name	gene_id	acronym	geneProduct	A86_logFC	A256_logFC	A485_logFC	A86256_logFC	A86485_logFC	dnf2_logFC	A86_FDR	A256_FDR	A485_FDR	A86256_FDR	A86485_FDR	dnf2_FDR	A86_sig	A256_sig	A485_sig	A86256_sig	A86485_sig	dnf2_sig
NCR660_Chr5g0429331	NCR	MtrunA17Chr5g0429331	medtr.A17.gnm5.ann1_6.MtrunA17Chr5g0429331	MtNCR660	Nodule-specific Cysteine-Rich peptide	-0.333192460484278	-1.49886638307084	-2.29961568915872	-1.11751144548834	-1.15852108497114	-0.667861287205927	0.999999979788073	0.492718587059386	0.141040914600152	0.773840937894275	1	1	NS	NS	NS	NS	NS	NS
NCR739_Chr8g0357471	NCR	MtrunA17Chr8g0357471	medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0357471	MtNCR739	Nodule-specific Cysteine-Rich peptide	-1.54387259381267	-3.13469116363197	-3.45209012400283	-3.3755583744686	-1.60159506081679	-2.76239685880291	0.557769396487594	0.00372365008432968	0.00162254654420327	0.00180796460708997	0.374944511039585	0.00596270478906299	NS	DOWN	DOWN	DOWN	NS	DOWN
MYB3R1_Chr3g0139671	Regulatory	MtrunA17Chr3g0139671	medtr.A17.gnm5.ann1_6.MtrunA17Chr3g0139671	MtMYB120	Myeloblastosis (MYB) transcription factor 120	-0.970255965148843	-0.453272432137462	-0.220465676334744	0.114110891654367	1.40235242907069	1.42738063281387	0.999999979788073	1	1	1	0.473156832039609	0.307687354799298	NS	NS	NS	NS	NS	NS
AUR1_Chr3g0140631	Regulatory	MtrunA17Chr3g0140631	medtr.A17.gnm5.ann1_6.MtrunA17Chr3g0140631	""	""	-0.956454394474186	-0.0650537947931538	-0.116467381464693	-0.444042664729556	1.9646159469607	1.55201584447106	0.999999979788073	1	1	1	0.0331615019864062	0.151228375869804	NS	NS	NS	NS	UP	NS
SYFO1_Chr5g0414941	Regulatory	MtrunA17Chr5g0414941	medtr.A17.gnm5.ann1_6.MtrunA17Chr5g0414941	MtSYFO1	SYMBIOTIC FORMIN1	-0.693009985100173	-0.0604297305882059	0.178670474077703	0.0925947094696823	-0.116897035891772	0.339087983623524	0.999999979788073	1	1	1	1	1	NS	NS	NS	NS	NS	NS
SYFO1L_Chr8g0364331	Regulatory	MtrunA17Chr8g0364331	medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0364331	MtSYFO1L	SYMBIOTIC FORMIN 1-LIKE	-1.25907169309024	-1.27607212254861	-1.70938449774022	-0.869611985572302	1.95136245212449	1.16153706724171	0.787376343406354	0.458255531424018	0.101159553584424	1	0.0136232480004997	0.578243262637225	NS	NS	NS	NS	UP	NS
RPG_Chr1g0197491	Regulatory	MtrunA17Chr1g0197491	medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0197491	MtRPG	Rhizobium-directed polar growth	-0.204680580630807	-0.782493012255738	-1.24678970216984	-1.71678757128131	-0.754415617090745	-1.23489847470646	0.999999979788073	1	0.490362968303697	0.0897521890141768	1	0.526273824836072	NS	NS	NS	NS	NS	NS
NPL_Chr3g0123331	Regulatory	MtrunA17Chr3g0123331	medtr.A17.gnm5.ann1_6.MtrunA17Chr3g0123331	MtNPL	nodulation pectate lyase (LjNPL orthologue)	-2.03523483345923	-1.78657014540008	-3.92313114302128	-4.65082701375421	2.34790601243465	0.395476509742538	0.379794768901214	0.32373098630197	0.0184591497236313	0.00928841425796241	0.0420037685483608	1	NS	NS	DOWN	DOWN	UP	NS
Lb1_Chr5g0435611	Leghemoglobin	MtrunA17Chr5g0435611	medtr.A17.gnm5.ann1_6.MtrunA17Chr5g0435611	MtLb1|MtLb7	leghemoglobin1	-0.213720356379044	-0.664195460688861	-1.38393859570737	-1.31637473477441	-3.22350234456521	-3.29782708245622	0.999999979788073	1	0.408494545166781	0.460122866548363	0.00190002565798134	0.000669807662770383	NS	NS	NS	NS	DOWN	DOWN
Lb2_Chr5g0427351	Leghemoglobin	MtrunA17Chr5g0427351	medtr.A17.gnm5.ann1_6.MtrunA17Chr5g0427351	MtLb2|MtLb6|MtLb1	leghemoglobin2	-0.338842537503896	-0.234772815342711	-0.0840921386899913	-0.247053159383389	-3.24671913121928	-4.24011808190237	0.999999979788073	1	1	1	0.00106295012168228	2.98679772869621e-05	NS	NS	NS	NS	DOWN	DOWN
