ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	Count	geneSymbols	geneID	RichFactor	FoldEnrichment	zScore
MF	GO:0016757	glycosyltransferase activity	2/519	173/17556	0.965716745634415	0.999983442101986	0.975593602050718	2	MtrunA17Chr4g0008361/MtrunA17Chr4g0056481	MtrunA17_Chr4g0008361/MtrunA17_Chr4g0056481	0.0115606936416185	0.391058839252899	-1.40482928305516
MF	GO:0003743	translation initiation factor activity	2/519	176/17556	0.968235141601172	0.999983442101986	0.975593602050718	2	MtrunA17Chr4g0062941/MtrunA17Chr2g0303821	MtrunA17_Chr4g0062941/MtrunA17_Chr2g0303821	0.0113636363636364	0.384393063583815	-1.4325918845937
MF	GO:0008168	methyltransferase activity	3/519	235/17556	0.971588374933097	0.999983442101986	0.975593602050718	3	MtrunA17Chr7g0239111/MtrunA17Chr5g0420901/MtrunA17Chr8g0375671	MtrunA17_Chr7g0239111/MtrunA17_Chr5g0420901/MtrunA17_Chr8g0375671	0.0127659574468085	0.431828803345222	-1.53043256395598
MF	GO:0016491	oxidoreductase activity	2/519	182/17556	0.972748542802215	0.999983442101986	0.975593602050718	2	MtrunA17Chr1g0166861/MtrunA17Chr8g0349621	MtrunA17_Chr1g0166861/MtrunA17_Chr8g0349621	0.010989010989011	0.371720764784349	-1.48705155665157
MF	GO:0051082	unfolded protein binding	1/519	124/17556	0.976110778651991	0.999983442101986	0.975593602050718	1	MtrunA17Chr6g0475981	MtrunA17_Chr6g0475981	0.00806451612903226	0.272795077382062	-1.41834400757899
MF	GO:0016874	ligase activity	3/519	247/17556	0.978467721206973	0.999983442101986	0.975593602050718	3	MtrunA17Chr3g0102941/MtrunA17Chr1g0196571/MtrunA17Chr8g0350901	MtrunA17_Chr3g0102941/MtrunA17_Chr1g0196571/MtrunA17_Chr8g0350901	0.0121457489878543	0.410849266340596	-1.62752041397876
MF	GO:0005516	calmodulin binding	1/519	129/17556	0.979461841261918	0.999983442101986	0.975593602050718	1	MtrunA17Chr1g0190131	MtrunA17_Chr1g0190131	0.00775193798449612	0.262221624770354	-1.46790177385828
MF	GO:0003724	RNA helicase activity	1/519	131/17556	0.980666968565255	0.999983442101986	0.975593602050718	1	MtrunA17Chr7g0246091	MtrunA17_Chr7g0246091	0.00763358778625954	0.258218241186074	-1.48734917855913
MF	GO:0030246	carbohydrate binding	2/519	196/17556	0.98100251787094	0.999983442101986	0.975593602050718	2	MtrunA17Chr4g0027601/MtrunA17Chr1g0197761	MtrunA17_Chr4g0027601/MtrunA17_Chr1g0197761	0.0102040816326531	0.345169281585467	-1.60905079241206
MF	GO:0043565	sequence-specific DNA binding	3/519	255/17556	0.982139388020907	0.999983442101986	0.975593602050718	3	MtCNGCIa/MtrunA17Chr1g0174701/MtrunA17Chr5g0422771	MtrunA17_Chr8g0347121/MtrunA17_Chr1g0174701/MtrunA17_Chr5g0422771	0.0117647058823529	0.397959877592656	-1.69023642512128
MF	GO:0003953	NAD+ nucleosidase activity	2/519	214/17556	0.988124671856473	0.999983442101986	0.975593602050718	2	MtrunA17Chr4g0009331/MtrunA17Chr4g0009351	MtrunA17_Chr4g0009331/MtrunA17_Chr4g0009351	0.00934579439252336	0.316136351358652	-1.75676774456599
MF	GO:0004672	protein kinase activity	2/519	226/17556	0.991346988884644	0.999983442101986	0.975593602050718	2	MtrunA17Chr4g0059121/MtrunA17Chr1g0193121	MtrunA17_Chr4g0059121/MtrunA17_Chr1g0193121	0.00884955752212389	0.299350350401555	-1.85030525173601
MF	GO:0016887	ATP hydrolysis activity	1/519	167/17556	0.993497684178596	0.999983442101986	0.975593602050718	1	MtrunA17Chr1g0155131	MtrunA17_Chr1g0155131	0.00598802395209581	0.202554428714825	-1.80721372597597
MF	GO:0061630	ubiquitin protein ligase activity	1/519	185/17556	0.996232276940879	0.999983442101986	0.975593602050718	1	MtrunA17Chr1g0204861	MtrunA17_Chr1g0204861	0.00540540540540541	0.182846430245274	-1.95013497121845
MF	GO:0004519	endonuclease activity	2/519	265/17556	0.996955286706239	0.999983442101986	0.975593602050718	2	MtrunA17Chr6g0450511/MtrunA17Chr6g0463031	MtrunA17_Chr6g0450511/MtrunA17_Chr6g0463031	0.00754716981132076	0.255295015814156	-2.13198760872
MF	GO:0106310	protein serine kinase activity	4/519	400/17556	0.997816528877233	0.999983442101986	0.975593602050718	4	MtrunA17Chr8g0358161/MtrunA17Chr8g0358151/MtrunA17Chr2g0299041/MtrunA17Chr7g0272841	MtrunA17_Chr8g0358161/MtrunA17_Chr8g0358151/MtrunA17_Chr2g0299041/MtrunA17_Chr7g0272841	0.01	0.338265895953757	-2.33664657309996
MF	GO:0003924	GTPase activity	1/519	207/17556	0.998067645406373	0.999983442101986	0.975593602050718	1	MtrunA17Chr4g0008361	MtrunA17_Chr4g0008361	0.00483091787439614	0.163413476306163	-2.11322795781413
MF	GO:0005525	GTP binding	1/519	279/17556	0.999784024571512	0.999983442101986	0.975593602050718	1	MtrunA17Chr4g0008361	MtrunA17_Chr4g0008361	0.003584229390681	0.12124225661425	-2.58240666586457
MF	GO:0003735	structural constituent of ribosome	1/519	363/17556	0.999983442101986	0.999983442101986	0.975593602050718	1	MtrunA17Chr2g0295991	MtrunA17_Chr2g0295991	0.00275482093663912	0.09318619723244	-3.04707495123506
