ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	Count	geneSymbols	geneID	RichFactor	FoldEnrichment	zScore
BP	GO:0009737	response to abscisic acid	1/256	74/14453	0.734425505504018	0.826928230035012	0.753742285536177	1	MtrunA17Chr1g0171851	MtrunA17_Chr1g0171851	0.0135135135135135	0.76293285472973	-0.274541850074355
BP	GO:0046777	protein autophosphorylation	2/256	147/14453	0.737664375041146	0.826928230035012	0.753742285536177	2	MtrunA17Chr2g0299041/MtrunA17Chr1g0190131	MtrunA17_Chr2g0299041/MtrunA17_Chr1g0190131	0.0136054421768707	0.76812287414966	-0.379440019137068
BP	GO:0000165	MAPK cascade	1/256	75/14453	0.739153725170961	0.826928230035012	0.753742285536177	1	MtrunA17Chr7g0272841	MtrunA17_Chr7g0272841	0.0133333333333333	0.752760416666667	-0.28826045181926
BP	GO:0006486	protein glycosylation	1/256	79/14453	0.757242718990809	0.831221656353397	0.757655729107771	1	MtrunA17Chr2g0290301	MtrunA17_Chr2g0290301	0.0126582278481013	0.714645965189873	-0.341502911811054
BP	GO:0016192	vesicle-mediated transport	1/256	80/14453	0.761566210290263	0.831221656353397	0.757655729107771	1	MtrunA17Chr5g0440601	MtrunA17_Chr5g0440601	0.0125	0.705712890625	-0.354428133630991
BP	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	1/256	80/14453	0.761566210290263	0.831221656353397	0.757655729107771	1	MtrunA17Chr7g0259911	MtrunA17_Chr7g0259911	0.0125	0.705712890625	-0.354428133630991
BP	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	1/256	80/14453	0.761566210290263	0.831221656353397	0.757655729107771	1	MtrunA17Chr3g0119361	MtrunA17_Chr3g0119361	0.0125	0.705712890625	-0.354428133630991
BP	GO:0098869	cellular oxidant detoxification	2/256	156/14453	0.766972260830739	0.832048695083045	0.758409572113331	2	MtPrx03/MtrunA17Chr5g0425971	MtrunA17_Chr3g0107881/MtrunA17_Chr5g0425971	0.0128205128205128	0.723808092948718	-0.465732405774145
BP	GO:0007165	signal transduction	5/256	362/14453	0.772326525897236	0.832809928527743	0.75910343382417	5	MtGLV1|MtRGF6/MtrunA17Chr4g0059121/MtrunA17Chr4g0009331/MtrunA17Chr4g0009351/MtrunA17Chr4g0009361	MtrunA17_Chr6g0467111/MtrunA17_Chr4g0059121/MtrunA17_Chr4g0009331/MtrunA17_Chr4g0009351/MtrunA17_Chr4g0009361	0.0138121546961326	0.779793249309392	-0.56977012557042
BP	GO:0022900	electron transport chain	1/256	84/14453	0.778106556479064	0.834018404848818	0.760204955904538	1	MtPCY3|MtPLC1	MtrunA17_Chr3g0125761	0.0119047619047619	0.672107514880952	-0.404709595892854
MF	GO:0003755	peptidyl-prolyl cis-trans isomerase activity	2/519	69/17556	0.60933763482988	0.83835043718205	0.817902865543464	2	MtrunA17Chr1g0179231/MtrunA17Chr1g0193711	MtrunA17_Chr1g0179231/MtrunA17_Chr1g0193711	0.0289855072463768	0.980480857836977	-0.0283540533143768
MF	GO:0004222	metalloendopeptidase activity	2/519	69/17556	0.60933763482988	0.83835043718205	0.817902865543464	2	MtrunA17Chr5g0414771/MtrunA17Chr5g0414661	MtrunA17_Chr5g0414771/MtrunA17_Chr5g0414661	0.0289855072463768	0.980480857836977	-0.0283540533143768
MF	GO:0050660	flavin adenine dinucleotide binding	2/519	69/17556	0.60933763482988	0.83835043718205	0.817902865543464	2	MtrunA17Chr7g0262471/MtrunA17Chr1g0157851	MtrunA17_Chr7g0262471/MtrunA17_Chr1g0157851	0.0289855072463768	0.980480857836977	-0.0283540533143768
MF	GO:0046983	protein dimerization activity	6/519	217/17556	0.62294075702553	0.841045939821053	0.820532624215662	6	MtrunA17Chr5g0427361/MtrunA17Chr4g0014031/MtrunA17Chr1g0170571/MtrunA17Chr2g0333641/MtrunA17Chr5g0432691/MtrunA17Chr1g0170581	MtrunA17_Chr5g0427361/MtrunA17_Chr4g0014031/MtrunA17_Chr1g0170571/MtrunA17_Chr2g0333641/MtrunA17_Chr5g0432691/MtrunA17_Chr1g0170581	0.0276497695852535	0.935297408167071	-0.167389054239275
MF	GO:0004518	nuclease activity	1/519	33/17556	0.628865952628437	0.841045939821053	0.820532624215662	1	MtrunA17Chr5g0446251	MtrunA17_Chr5g0446251	0.0303030303030303	1.02504816955684	0.0251371633902517
MF	GO:0042802	identical protein binding	1/519	33/17556	0.628865952628437	0.841045939821053	0.820532624215662	1	MtDMI1	MtrunA17_Chr2g0277131	0.0303030303030303	1.02504816955684	0.0251371633902517
MF	GO:0015293	symporter activity	2/519	72/17556	0.632527865610819	0.841045939821053	0.820532624215662	2	MtrunA17Chr5g0437961/MtPT12	MtrunA17_Chr5g0437961/MtrunA17_Chr7g0261231	0.0277777777777778	0.939627488760437	-0.0895926999192349
MF	GO:0016788	hydrolase activity, acting on ester bonds	1/519	34/17556	0.6398582810303	0.841045939821053	0.820532624215662	1	MtrunA17Chr2g0283411	MtrunA17_Chr2g0283411	0.0294117647058824	0.994899693981639	-0.00519554833149942
MF	GO:0050590	desacetoxyvindoline 4-hydroxylase activity	1/519	34/17556	0.6398582810303	0.841045939821053	0.820532624215662	1	MtrunA17Chr1g0184241	MtrunA17_Chr1g0184241	0.0294117647058824	0.994899693981639	-0.00519554833149942
MF	GO:0071949	FAD binding	2/519	73/17556	0.640015446888216	0.841045939821053	0.820532624215662	2	MtCKX6/MtrunA17Chr1g0211151	MtrunA17_Chr3g0091141/MtrunA17_Chr1g0211151	0.0273972602739726	0.926755879325362	-0.109449493189263
BP	GO:0042744	hydrogen peroxide catabolic process	1/256	90/14453	0.800798307248802	0.853231529747235	0.777717654282984	1	MtPrx03	MtrunA17_Chr3g0107881	0.0111111111111111	0.627300347222222	-0.476259147847784
BP	GO:0032259	methylation	4/256	316/14453	0.814669681538993	0.862874988138933	0.786507633999028	4	MtrunA17Chr4g0029861/MtrunA17Chr7g0239111/MtrunA17Chr5g0420901/MtrunA17Chr8g0375671	MtrunA17_Chr4g0029861/MtrunA17_Chr7g0239111/MtrunA17_Chr5g0420901/MtrunA17_Chr8g0375671	0.0126582278481013	0.714645965189873	-0.688707159829611
MF	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	4/519	152/17556	0.661488895619508	0.863727538866236	0.842661013528035	4	MtrunA17Chr4g0014031/MtrunA17Chr1g0170571/MtrunA17Chr5g0432691/MtrunA17Chr1g0170581	MtrunA17_Chr4g0014031/MtrunA17_Chr1g0170571/MtrunA17_Chr5g0432691/MtrunA17_Chr1g0170581	0.0263157894736842	0.890173410404624	-0.237351668283892
BP	GO:0032508	DNA duplex unwinding	1/256	98/14453	0.827498171778355	0.870515985775327	0.793472377507649	1	MtrunA17Chr1g0192551	MtrunA17_Chr1g0192551	0.0102040816326531	0.576092155612245	-0.565416607628595
BP	GO:0051301	cell division	2/256	180/14453	0.831610243394307	0.870515985775327	0.793472377507649	2	MtrunA17Chr1g0183881/MtrunA17Chr7g0233651	MtrunA17_Chr1g0183881/MtrunA17_Chr7g0233651	0.0111111111111111	0.627300347222222	-0.675652325275556
CC	GO:0005759	mitochondrial matrix	1/181	65/11396	0.647823612229257	0.878072408887448	0.859801624369594	1	MtBG44	MtrunA17_Chr4g0062771	0.0153846153846154	0.968635784105397	-0.0322146788671393
CC	GO:0009505	plant-type cell wall	1/181	65/11396	0.647823612229257	0.878072408887448	0.859801624369594	1	MtrunA17Chr5g0425531	MtrunA17_Chr5g0425531	0.0153846153846154	0.968635784105397	-0.0322146788671393
CC	GO:0019005	SCF ubiquitin ligase complex	1/181	66/11396	0.653449234520891	0.878072408887448	0.859801624369594	1	MtrunA17Chr7g0259911	MtrunA17_Chr7g0259911	0.0151515151515152	0.953959484346225	-0.0476534123774686
CC	GO:0005774	vacuolar membrane	2/181	145/11396	0.674145840494847	0.87843245882662	0.860154182449566	2	MtrunA17Chr8g0363771/MtrunA17Chr1g0196081	MtrunA17_Chr8g0363771/MtrunA17_Chr1g0196081	0.0137931034482759	0.868432082301391	-0.202551401844779
MF	GO:0003713	transcription coactivator activity	1/519	38/17556	0.680672435640059	0.883150944976027	0.861610678025392	1	MtHAC1	MtrunA17_Chr1g0169961	0.0263157894736842	0.890173410404624	-0.118289056901989
MF	GO:0004650	polygalacturonase activity	1/519	40/17556	0.699313897843665	0.890430739490381	0.868712916575981	1	MtrunA17Chr1g0194231	MtrunA17_Chr1g0194231	0.025	0.845664739884393	-0.170555300048729
MF	GO:0016791	phosphatase activity	1/519	40/17556	0.699313897843665	0.890430739490381	0.868712916575981	1	MtrunA17Chr2g0330511	MtrunA17_Chr2g0330511	0.025	0.845664739884393	-0.170555300048729
MF	GO:0051213	dioxygenase activity	1/519	40/17556	0.699313897843665	0.890430739490381	0.868712916575981	1	MtrunA17Chr4g0003581	MtrunA17_Chr4g0003581	0.025	0.845664739884393	-0.170555300048729
CC	GO:0005777	peroxisome	1/181	76/11396	0.705015701860054	0.891637505293597	0.873084460507807	1	MtrunA17Chr5g0409771	MtrunA17_Chr5g0409771	0.0131578947368421	0.828438499563827	-0.19063394344804
MF	GO:0010181	FMN binding	1/519	42/17556	0.716869097080793	0.907149166059028	0.885023576642954	1	MtrunA17Chr1g0157851	MtrunA17_Chr1g0157851	0.0238095238095238	0.805394990366089	-0.220380681925074
BP	GO:0006979	response to oxidative stress	1/256	115/14453	0.872981824980689	0.908510155067113	0.828103934345207	1	MtPrx03	MtrunA17_Chr3g0107881	0.00869565217391304	0.490930706521739	-0.735982015009047
