label	category	locus_tag	A86	A256	A485	A86256	A86485	dnf2
Lb2	Leghemoglobin	MtrunA17Chr5g0427351	-0.338842537503896	-0.234772815342711	-0.0840921386899913	-0.247053159383389	-3.24671913121928	-4.24011808190237
Lb1	Leghemoglobin	MtrunA17Chr5g0435611	-0.213720356379044	-0.664195460688861	-1.38393859570737	-1.31637473477441	-3.22350234456521	-3.29782708245622
Lb5	Leghemoglobin	MtrunA17Chr5g0417631	-0.449703151522955	-0.882812162733107	-0.912463028998942	-0.90975504082382	-2.87125979792955	-2.89689629260571
Lb7	Leghemoglobin	MtrunA17Chr5g0435981	-0.323452056868545	-0.338037590928089	-0.00873614855003245	-0.185503834716473	-2.52294570115132	-2.86847093483862
Lb9	Leghemoglobin	MtrunA17Chr5g0435991	-0.288687953786103	-0.269436891375572	-0.210472663632163	-0.254415254039513	-1.17945771459271	-2.2048225598346
Lb11	Leghemoglobin	MtrunA17Chr7g0270491	1.49118020717804	0.0782184960792523	-1.62128614375639	-1.90088465107259	-1.51462217173861	-2.50638501357036
NAD1	N-fixation / Symbiosis	MtrunA17Chr7g0222521	-0.666656907418355	-1.00231364881161	-1.1720060772328	-1.20875448119359	-1.04626359431904	-2.31086601875858
LYM1	N-fixation / Symbiosis	MtrunA17Chr3g0114621	-0.933848846430331	-1.54147277039109	-1.7909461981752	-1.40234119227285	-0.0473629589062001	-0.324775616767684
SymCRK	N-fixation / Symbiosis	MtrunA17Chr3g0119041	-0.444330318245535	-0.473729550812086	-0.891420897578839	-1.22238700479053	-1.04151993277657	-1.95005750515361
NFS2	N-fixation / Symbiosis	MtrunA17Chr8g0361201	-0.0517089631292288	-0.0290716845321948	-0.982321515427311	-1.31599345604009	1.09489609425841	0.465956016394536
NIN	N-fixation / Symbiosis	MtrunA17Chr5g0448621	0.00147457104879069	0.480590790766171	0.309984285211616	0.522612844889477	0.634728230675119	-0.184926101096368
